country_name,country_code,year,inflation,unemployment,trade_pct_gdp,govt_expenditure,urban_pop_pct,internet_users,liquid_liabilities_gdp,bank_zscore,bank_npl,bank_capital_ratio,bank_roa,life_expectancy,clean_water_access,primary_enrollment,secondary_enrollment,edu_expenditure,log_gdp_per_capita,log_private_credit_gdp,income_idx,health_idx,education_idx,hdi_proxy,hdi_proxy_t5
Singapore,SGP,2021,2.316103158,4.64,329.1613837,16.28249736,100.0,96.9247,152.6299,28.62815,1.3064222,9.323884,0.8921828,83.09268293,100.0,100.26187,105.8443,2.85435,11.290495769050617,4.895435419205461,0.9395270389259178,0.966746023252628,0.9603385174391416,0.9555371932058958,
Solomon Islands,SLB,2017,0.48868676,0.727,82.1974922,30.2343478,25.38305358,15.1,27.46596,14.786470000000001,6.3732571,17.41399,1.189307,69.652,69.35958846,110.0,48.31938,9.86063,7.6706974715616125,3.0534486705812514,0.5204101254842711,0.7835672701284406,0.41132785463990773,0.5717684167508731,
Solomon Islands,SLB,2018,3.46147485,0.722,88.49496147,27.57704451,26.29468267,20.9,28.88674,14.786470000000001,7.1253316,16.537499,1.189307,69.806,69.35958846,106.20649,48.31938,9.86063,7.731579382165717,3.0273908115542523,0.5274593134112677,0.7856660866936436,0.41132785463990773,0.5748177515816063,
Solomon Islands,SLB,2019,1.63485544,0.746,82.9985659,28.98471748,27.27510675,26.3406,26.77833,14.786470000000001,10.414261,17.21259,1.189307,69.981,69.35958846,106.20649,48.31938,9.86063,7.707358883522955,3.0594354458848794,0.5246549525604951,0.7880511055177378,0.41132785463990773,0.5746779709060469,
Solomon Islands,SLB,2020,2.963549921,0.868,60.22043656,31.91319317,28.03275552,33.1974,28.70623,14.786470000000001,10.785215,17.676341,1.189307,69.258,69.35958846,106.20649,48.31938,9.86063,7.632559936664887,3.0718739976600866,0.5159943860981079,0.7781975706044797,0.41132785463990773,0.5685066037808317,
Solomon Islands,SLB,2021,-0.115437894,0.879,67.42005678,30.37972278,28.68893968,41.8392,27.31117,14.786470000000001,10.785215,17.676341,1.189307,68.89,69.35958846,106.20649,48.31938,9.86063,7.622881213434759,3.0287452972722604,0.5148737389589895,0.7731822167343844,0.41132785463990773,0.5664612701110938,
Sierra Leone,SLE,2017,18.2215094,3.656,41.52137823,22.765940739999998,41.71066821,13.2369,23.62231,4.344736,31.73,12.32,4.842414,57.761,8.953960477,110.0,41.79632,4.63577,6.659532362792281,1.7902191168275234,0.4033327735054965,0.6215086482009824,0.34907258346214387,0.45797133505620763,
Sierra Leone,SLE,2018,16.02954477,3.192,37.37746041,22.765940739999998,42.20110253,14.4223,22.94748,4.798911,31.73,12.32,3.720186,59.059,9.221558974,110.0,41.79632,6.98963,6.741599792867426,1.882508200821605,0.41283491842087555,0.6391986735362646,0.34907258346214387,0.467035391806428,
Sierra Leone,SLE,2019,14.80499909,3.204,37.56195303,22.765940739999998,42.70184449,15.7137,22.88587,6.342023,31.73,12.32,5.109506,59.593,9.492779065,110.0,41.79632,7.70228,6.738996353849408,1.9463100690766402,0.41253348026441194,0.6464763881195009,0.34907258346214387,0.46936081728201895,
Sierra Leone,SLE,2020,13.44687111,3.509,30.61310095,22.765940739999998,43.21296591,17.1208,28.40626,6.342023,31.73,12.32,5.109506,59.694,9.767402973,110.0,41.79632,7.70228,6.740847388423001,1.895993500640682,0.41274780157002067,0.6478528846979782,0.34907258346214387,0.46989108991004763,
Sierra Leone,SLE,2021,11.87395888,3.551,42.14351613,22.765940739999998,43.7345386,18.6539,31.22051,6.342023,31.73,12.32,5.109506,60.26,10.04520802,110.0,41.79632,7.70228,6.787164256756442,2.057094956264421,0.41811058184141336,0.6555667170090488,0.34907258346214387,0.47424996077086873,
