Country Name,Country Code,Series,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Vanuatu,VUT,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,558,686,200,131,241,104,766,279,..,..,..,..,..,..,..,..,..,3300,..,..,..,..,..,..,..,..,..,..
Vanuatu,VUT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,97.18041,96.57094,99.00121,111.04611,110.08273,..,..,111.82459,119.81731,117.97876,120.28458,120.88939,121.65584,125.11276,121.20081,117.69917,111.74768,112.61092,113.98496,113.66822,122.4828,..,..,118.32717,..,109.29187,..,..,..,..,..,..,..,..,..,..
Vanuatu,VUT,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,41.92779,45.27293,43.41227,44.86017,43.5696,46.79484,..,..,..,66.04227,66.91902,67.19607,..,..,68.43284,..,67.73691,..,..,..,..,..,..,..,..,..,..
Vanuatu,VUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,4.38802,..,..,..,7.64082,6.16283,7.00363,8.95115,8.13175,8.44173,..,..,..,..,5.78303,5.01295,..,..,..,..,4.91083,5.39081,..,4.53353,..,..,..,..,..,..,..,..
Vanuatu,VUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,68.7,..,..,..,..,74,..,..,..,..,78.4,..,..,..,..,..,..,..,..,..,84.7,..,..,..,87.50631,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,354587,270691,198759,82627,140724,139178,169014,168601,122932,194712,137262,117246,120920,132663,163201,195773,208182,278368,324992,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,106.50246,110.14233,111.92532,110.24091,..,..,100.75526,101.64725,..,99.77773,101.4451,104.28565,106.68163,104.75289,104.60011,104.17656,103.94703,105.75627,103.02123,103.3525,102.75582,102.41886,102.31121,102.57274,101.34071,100.93667,98.97734,97.15034,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,67.73212,71.58681,76.56623,81.07052,82.72349,84.65258,86.07663,87.58219,89.38938,90.06797,90.19903,89.99867,90.39366,92.34076,98.9227,100.11399,98.156,94.94818,92.94967,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.44671,..,4.31068,3.81783,5.00603,..,..,..,..,..,..,..,..,..,..,..,3.66906,3.62732,..,6.87468,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,89.82525,..,..,..,..,..,..,..,..,..,..,92.97983,..,..,..,..,..,95.15464,..,95.51199,..,94.77022,..,..,..,96.60522,97.12709,..,..,..,..,..,..,..,..,..
